"Line number in raw-data/historische_familiennnamen.csv";"Name";"Canton";"Commune";"Reason"
211928;"von Muralt";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211929;"von Mussmann";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
211930;"von Mutach";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
211931;"von Mutzenbecher";"BS";"Riehen";"Duplicate entry in historische_familiennamen.csv"
211932;"von Mühlenen";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
211933;"von Mühlenen";"BE";"Boltigen";"Duplicate entry in historische_familiennamen.csv"
211934;"von Mühlenen";"BE";"Lenk";"Duplicate entry in historische_familiennamen.csv"
211935;"von Mühlenen";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
211936;"von Mülinen";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
211937;"von Müllenen";"GE";"Thônex";"Duplicate entry in historische_familiennamen.csv"
211938;"von Müller";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
211939;"von Müller";"FR";"Düdingen";"Duplicate entry in historische_familiennamen.csv"
211940;"von Müller";"SZ";"Schwyz";"Duplicate entry in historische_familiennamen.csv"
211941;"von Müllinen";"AG";"Brugg";"Duplicate entry in historische_familiennamen.csv"
211942;"von Möllendorff";"TI";"Mosogno";"Duplicate entry in historische_familiennamen.csv"
211943;"von Niederhäusern";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
211944;"von Niederhäusern";"BE";"Nidau";"Duplicate entry in historische_familiennamen.csv"
211945;"von Niederhäusern";"BE";"Riggisberg";"Duplicate entry in historische_familiennamen.csv"
211946;"von Niederhäusern";"BE";"Rüti bei Riggisberg";"Duplicate entry in historische_familiennamen.csv"
211947;"von Niederhäusern";"BE";"Wahlern";"Duplicate entry in historische_familiennamen.csv"
211948;"von Niederhäusern";"BE";"Wattenwil";"Duplicate entry in historische_familiennamen.csv"
211949;"von Niederhäusern";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211950;"von Niederhäusern";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
211951;"von Niederhäusern";"LU";"Luzern";"Duplicate entry in historische_familiennamen.csv"
211952;"von Niederhäusern";"NE";"Neuchâtel";"Duplicate entry in historische_familiennamen.csv"
211953;"von Niederhäusern";"SO";"Olten";"Duplicate entry in historische_familiennamen.csv"
211954;"von Okolski";"SG";"Uzwil";"Duplicate entry in historische_familiennamen.csv"
211955;"von Orelli";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211956;"von Orelli";"TI";"Locarno";"Duplicate entry in historische_familiennamen.csv"
211957;"von Orelli";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211958;"von Ostheim";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211959;"von Overbeck";"FR";"Zumholz";"Duplicate entry in historische_familiennamen.csv"
211960;"von Ow";"BL";"Buckten";"Duplicate entry in historische_familiennamen.csv"
211961;"von Ow";"SG";"Widnau";"Duplicate entry in historische_familiennamen.csv"
211962;"von Ow";"SH";"Dörflingen";"Duplicate entry in historische_familiennamen.csv"
211963;"von Ow";"SH";"Hallau";"Duplicate entry in historische_familiennamen.csv"
211964;"von Ow";"SH";"Schaffhausen";"Duplicate entry in historische_familiennamen.csv"
211965;"von Ow";"SH";"Thayngen";"Duplicate entry in historische_familiennamen.csv"
211966;"von Ow";"TG";"Diessenhofen";"Duplicate entry in historische_familiennamen.csv"
211967;"von Ow";"TG";"Frauenfeld";"Duplicate entry in historische_familiennamen.csv"
211968;"von Ow";"TG";"Mett-Oberschlatt";"Duplicate entry in historische_familiennamen.csv"
211969;"von Ow";"TG";"Steckborn";"Duplicate entry in historische_familiennamen.csv"
211970;"von Ow";"TG";"Unterschlatt";"Duplicate entry in historische_familiennamen.csv"
211971;"von Ow";"ZH";"Elsau";"Duplicate entry in historische_familiennamen.csv"
211972;"von Ow";"ZH";"Pfäffikon";"Duplicate entry in historische_familiennamen.csv"
211973;"von Ow";"ZH";"Rheinau";"Duplicate entry in historische_familiennamen.csv"
