Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Romoos;6113;0;Romoos;1007;LU;2644512.963;1206826.918;de
Bramboden;6167;0;Romoos;1007;LU;2641610.846;1203252.030;de
Schüpfheim;6170;0;Schüpfheim;1008;LU;2644237.940;1200395.034;de
Schachen LU;6105;0;Werthenstein;1009;LU;2653518.680;1209934.712;de
Werthenstein;6106;0;Werthenstein;1009;LU;2650512.259;1211698.689;de
Escholzmatt;6182;0;Escholzmatt-Marbach;1010;LU;2637792.376;1195994.083;de
Wiggen;6192;0;Escholzmatt-Marbach;1010;LU;2635904.314;1193924.985;de
Marbach LU;6196;0;Escholzmatt-Marbach;1010;LU;2635241.813;1189189.666;de
Aesch LU;6287;0;Aesch (LU);1021;LU;2660592.614;1234064.081;de
Ballwil;6275;0;Ballwil;1023;LU;2666896.919;1222744.214;de
Emmenbrücke;6020;0;Emmen;1024;LU;2663418.879;1214369.064;de
Emmen;6032;0;Emmen;1024;LU;2665603.685;1214583.294;de
Ermensee;6294;0;Ermensee;1025;LU;2660898.390;1231086.434;de
Eschenbach LU;6274;0;Eschenbach (LU);1026;LU;2666888.886;1220574.523;de
Gelfingen;6284;0;Hitzkirch;1030;LU;2663093.395;1229631.814;de
Sulz LU;6284;2;Hitzkirch;1030;LU;2664404.303;1230257.833;de
Hitzkirch;6285;0;Hitzkirch;1030;LU;2662539.258;1230806.333;de
Retschwil;6285;2;Hitzkirch;1030;LU;2661751.045;1227204.880;de
Altwis;6286;0;Hitzkirch;1030;LU;2661269.875;1232264.520;de
Müswangen;6289;0;Hitzkirch;1030;LU;2664400.808;1232280.759;de
Hämikon;6289;2;Hitzkirch;1030;LU;2665213.336;1232832.388;de
Hämikon;6289;2;Hitzkirch;1030;LU;2663093.219;1232157.561;de
Mosen;6295;0;Hitzkirch;1030;LU;2659747.656;1232734.906;de
Hochdorf;6280;0;Hochdorf;1031;LU;2664779.386;1224344.364;de
