LOC:INFO;LOC:NAME;LOC:CANTON;NS1:PLACEOFORIGINNAME;NS1:CANTONABBREVIATION;NS1:PLACEOFORIGINID;NS1:SUCCESSORID;NS1:HISTORYMUNICIPALITYID;NS1:VALIDFROM;NS1:VALIDTO;COMMENT;EDITOR
MANUAL;Guschelmuth;FR;Gurmels (Grossguschelmuth);FR;7287;;;01.01.2017;;;
MANUAL;Coffrane;NE;Coffrane (Val-de-Ruz);NE;7929;;;01.01.2013;;;
MANUAL;Gurmels;FR;Gurmels (Grossgurmels);FR;7285;;;01.01.2017;;;
MANUAL;Undervelier;JU;Undervelier (Haute-Sorne);JU;7126;;;01.03.2016;;;
MANUAL;Dompierre FR;FR;Belmont-Broye;FR;2053;;15675;01.01.2016;;grösster Ort;
MANUAL;Donat;GR;Muntogna da Schons (Patzen-Fardün);GR;7551;;;01.01.2021;;;
MANUAL;Uesslingen;TG;Uesslingen-Buch;TG;4616;;15431;;;;
MANUAL;Gurmels;FR;Gurmels (Monterschu);FR;7286;;;01.01.2017;;"""Am 1. Januar 1978 fusionierte Monterschu mit dem damaligen Grossgurmels zur neuen Gemeinde Gurmels.""";
MANUAL;Le Pâquier-Montbarry;FR;Le Pâquier;FR;2145;;12618;;;;
MANUAL;Cerniat FR;FR;Val-de-Charmey (Cerniat (FR));FR;7229;;;01.01.2017;;;
MANUAL;Rüthi (Rheintal);SG;Rüthi;SG;3256;;14404;01.01.1993;;;
MANUAL;Busswil b. Melchnau;BE;Busswil bei Melchnau;BE;325;;15011;;;;
MANUAL;Villars-Burquin;VD;Tévenon;VD;5571;;15492;01.07.2011;;grösste Gemeinde;
MANUAL;Sta. Maria in Calanca;GR;Santa Maria in Calanca;GR;3810;;16015;;;;
MANUAL;Tinizong;GR;Surses (Tinizong-Rona);GR;7342;;;01.01.2018;;grösste Gemeinde;
MANUAL;Gorgier;NE;Gorgier (La Grande Béroche);NE;7516;;;01.01.2018;;;
MANUAL;St-Gingolph;VS;Saint-Gingolph;VS;6155;;12863;;;;
MANUAL;Gommiswald;SG;Gommiswald-Dorf;SG;7954;;;01.01.2013;;;
MANUAL;Ayer;VS;Anniviers;VS;6252;;14962;01.01.2009;;grösste Gemeinde;
MANUAL;Fenin;NE;Fenin-Vilars-Saules (Val-de-Ruz);NE;7932;;;01.01.2013;;als Einzelorte aufgeführt -> davon grösste Gemeinde (Stand vor Fusion);VB
MANUAL;Safien Platz;GR;Safiental (Safien);GR;7434;;;01.01.2018;;;
MANUAL;Verscio;TI;Terre di Pedemonte;TI;5396;;15627;14.04.2013;;grösste Gemeinde;
MANUAL;Bleiken b. Oberdiessbach;BE;Oberdiessbach (Bleiken bei Oberdiessbach);BE;7477;;;01.01.2018;;;
MANUAL;Siviriez;FR;Siviriez (Le Saulgy);FR;7184;;;01.01.2017;;"""Am 1. Januar 1978 wurde Le Saulgy nach Siviriez eingemeindet.""";
MANUAL;Wangen b. Olten;SO;Wangen bei Olten;SO;2586;;10472;;;;
MANUAL;Vicques;JU;Val Terbi;JU;6730;;16119;01.01.2013;;grösste Gemeinde;
MANUAL;Biel/Bienne;BE;Mett;BE;7853;;;;;"""Mett ist eine ehemalige politische Gemeinde und wurde 1920 in Biel eingemeindet.""";
MANUAL;Les Bayards;NE;Les Bayards (Val-de-Travers);NE;7950;;;01.01.2013;;;
MANUAL;Epiquerez;JU;Epiquerez (Clos du Doubs);JU;7112;;;01.03.2016;;;
MANUAL;Soulce;JU;Soulce (Haute-Sorne);JU;7125;;;01.03.2016;;;
MANUAL;Ecublens FR;FR;Ecublens (FR) (Villangeaux);FR;7174;;;01.01.2017;;;
MANUAL;Signy;VD;Signy-Avenex;VD;5728;;14598;;;;
MANUAL;Grand-Lancy;GE;Lancy;GE;6628;;12624;;;grösste Gemeinde;
MANUAL;Peiden;GR;Lumnezia (Uors-Peiden);GR;7429;;;01.01.2018;;grösste Gemeinde (91 Einwohner);
MANUAL;Lugnorre;FR;Mont-Vully;FR;2284;;15679;01.01.2016;;grösste Gemeinde;
MANUAL;Nussbaumen AG;AG;Obersiggenthal;AG;4038;;12456;;;grösste Gemeinde;
MANUAL;Ried b. Kerzers;FR;Ried bei Kerzers;FR;2276;;14529;;;;
MANUAL;St-Ursanne;JU;Saint-Ursanne (Clos du Doubs);JU;7116;;;01.03.2016;;;
MANUAL;Morbio Superiore;TI;Breggia;TI;5269;;14974;25.10.2009;;grösste Gemeinde;
MANUAL;Lenk im Simmental;BE;Lenk;BE;792;;15276;;;;
MANUAL;St-Légier-La Chiésaz;VD;Saint-Légier-La Chiésaz;VD;5888;;14599;;;;
MANUAL;Medels im Rheinwald;GR;Rheinwald (Medels i. Rh.);GR;7523;;;01.01.2019;;;
MANUAL;Heinrichswil;SO;Drei Höfe;SO;2535;;15603;01.01.2013;;grösste Gemeinde;
MANUAL;Pleujouse;JU;Pleujouse (La Baroche);JU;7107;;;01.03.2016;;;
MANUAL;Courlevon;FR;Murten (Coussiberlé);FR;7300;;;01.01.2017;;"""Am 15. Februar 1974 wurde Coussiberlé nach Courlevon eingemeindet. Seit 2016 gehört das Dorf zur Gemeinde Murten.""";
MANUAL;Alvaneu Dorf;GR;Albula/Alvra (Alvaneu);GR;7325;;;01.01.2018;;grösste Gemeinde;
MANUAL;Perly;GE;Perly-Certoux;GE;6632;;13155;;;;
MANUAL;Hasliberg Hohfluh;BE;Hasliberg;BE;783;;15271;;;grösste Gemeinde;
MANUAL;Lessoc;FR;Haut-Intyamon;FR;2121;;14362;01.01.2002;;grösste Gemeinde;
MANUAL;Corpataux;FR;Gibloux (Corpataux-Magnedens);FR;7259;;;01.01.2017;;grösste Gemeinde;
MANUAL;Courfaivre;JU;Courfaivre (Haute-Sorne);JU;7123;;;01.03.2016;;;
MANUAL;Porsel;FR;Le Flon;FR;2337;;14482;01.01.2004;;grösste Gemeinde;
MANUAL;Murist;FR;Estavayer (Franex);FR;7147;;;01.01.2017;;"""Am 1. Januar 1992 wurde Franex nach Murist eingemeindet. Seit 2017 gehört das Dorf zur Gemeinde Estavayer.""";
MANUAL;Arvigo;GR;Calanca;GR;3837;;16067;01.01.2015;;grösste Gemeinde;
MANUAL;St-Saphorin (Lavaux);VD;Saint-Saphorin (Lavaux);VD;5610;;14588;;;;
MANUAL;Villette (Lavaux);VD;Bourg-en-Lavaux (Villette);VD;7036;;;01.01.2016;;;
MANUAL;Auvernier;NE;Auvernier (Milvignes);NE;7923;;;01.01.2013;;;
MANUAL;Siegershausen;TG;Kemmental;TG;4666;;15445;;;grösste Gemeinde;
MANUAL;Müllheim Dorf;TG;Müllheim;TG;4831;;15416;;;;
MANUAL;Tesserete;TI;Capriasca;TI;5226;;14938;15.10.2001;;grösste Gemeinde;
MANUAL;Hergiswil b. Willisau;LU;Hergiswil bei Willisau;LU;1132;;15565;;;;
MANUAL;Romainmôtier;VD;Romainmôtier-Envy (Envy);VD;7020;;;01.01.2016;;;
MANUAL;Epauvillers;JU;Epauvillers (Clos du Doubs);JU;7111;;;01.03.2016;;;
MANUAL;Corban;JU;Corban (Val Terbi);JU;7324;;;01.01.2018;;;
MANUAL;Chézard-St-Martin;NE;Chézard-Saint-Martin (Val-de-Ruz);NE;7928;;;01.01.2013;;;
MANUAL;Chevenez;JU;Haute-Ajoie;JU;6809;;16120;01.01.2009;;grösste Gemeinde;
MANUAL;Cormagens;FR;La Sonnaz;FR;2235;;14481;01.01.2004;;grösste Gemeinde;
MANUAL;Ramosch;GR;Valsot;GR;3764;;16059;01.01.2013;;grösste Gemeinde;
MANUAL;Engollon;NE;Engollon (Val-de-Ruz);NE;7931;;;01.01.2013;;;
MANUAL;Hofstetten b. Brienz;BE;Hofstetten bei Brienz;BE;580;;15153;;;;
MANUAL;Charmoille;JU;Charmoille (La Baroche);JU;7104;;;01.03.2016;;;
MANUAL;Forel FR;FR;Estavayer (Forel (FR));FR;7145;;;01.01.2017;;;
MANUAL;Allmendingen b. Bern;BE;Allmendingen;BE;630;;15192;01.01.1993;;;
MANUAL;Sutz;BE;Sutz-Lattrigen;BE;750;;15256;;;;
MANUAL;Schänis;SG;Schänis-Dorf;SG;7895;;;;;;
MANUAL;Balm b. Günsberg;SO;Balm bei Günsberg;SO;2541;;11702;;;;
MANUAL;Le Cręt-près-Semsales;FR;La Verrerie (Le Cręt);FR;7313;;;01.01.2017;;;
MANUAL;St. Martin (Lugnez);GR;Vals (St. Martin);GR;7403;;;01.01.2018;;;
MANUAL;Granges-près-Marnand;VD;Valbroye;VD;5831;;15496;01.07.2011;;grösste Gemeinde;
MANUAL;Lentigny;FR;La Brillaz;FR;2234;;14136;;;grösste Gemeinde;
MANUAL;St-Maurice;VS;Saint-Maurice;VS;6217;;15620;;;;
MANUAL;Adlikon b. Andelfingen;ZH;Adlikon;ZH;21;;11735;;;;
MANUAL;Villaz-St-Pierre;FR;Villaz (Villaz-Saint-Pierre);FR;7524;;;01.01.2020;;;
MANUAL;Bussy-Chardonney;VD;Hautemorges (Bussy-Chardonney, Chardonney-sur-Morges);VD;7574;;;01.07.2021;;;
MANUAL;Roche-d'Or;JU;Roche-d'Or (Haute-Ajoie);JU;7121;;;01.03.2016;;;
MANUAL;Campo (Vallemaggia);TI;Campo Vallemaggia;TI;5307;;11402;;;;
MANUAL;Curaglia;GR;Medel (Lucmagn);GR;3983;;16040;01.01.1943;;grösste Gemeinde;
MANUAL;Bevaix;NE;Bevaix (La Grande Béroche);NE;7514;;;01.01.2018;;;
MANUAL;Bremgarten b. Bern;BE;Bremgarten bei Bern;BE;353;;15031;;;;
MANUAL;Ausserferrera;GR;Ferrera;GR;3713;;16045;01.01.2008;;grösste Gemeinde;
MANUAL;Cernier;NE;Cernier (Val-de-Ruz);NE;7927;;;01.01.2013;;;
MANUAL;Sils/Segl Maria;GR;Sils im Engadin/Segl;GR;3789;;16009;01.01.1943;;grösste Gemeinde;
MANUAL;Bönigen b. Interlaken;BE;Bönigen;BE;572;;15145;;;;
MANUAL;Prez-vers-Noréaz;FR;Prez;FR;2237;;16133;01.01.2020;;grösste Gemeinde;
MANUAL;St-Livres;VD;Saint-Livres;VD;5435;;14601;;;;
MANUAL;Fleurier;NE;Fleurier (Val-de-Travers);NE;7948;;;01.01.2013;;;
MANUAL;Paspels;GR;Domleschg;GR;3673;;16064;01.01.2015;;grösste Gemeinde;
MANUAL;Ste-Croix;VD;Sainte-Croix;VD;5568;;14591;;;;
MANUAL;Aathal-Seegräben;ZH;Seegräben;ZH;119;;12951;;;;
MANUAL;Zillis;GR;Zillis-Reischen;GR;3712;;15992;;;;
MANUAL;Rickenbach b. Wil;TG;Rickenbach;TG;4751;;15463;01.01.1998;;;
MANUAL;St-Blaise;NE;Saint-Blaise;NE;6459;;16112;;;;
MANUAL;Laufen;BL;Laufen-Stadt;BL;7862;;;01.01.1994;;"""1852 wurden die beiden Gemeinden Laufen Stadt und Laufen Vorstadt vereinigt.""";
MANUAL;Montmollin;NE;Montmollin (Val-de-Ruz);NE;7937;;;01.01.2013;;;
MANUAL;Davos Dorf;GR;Davos;GR;3851;;16047;;;grösste Gemeinde;
MANUAL;Rivera;TI;Monteceneri;TI;5238;;15392;21.11.2010;;grösste Gemeinde;
MANUAL;Villaz-St-Pierre;FR;Villaz;FR;2117;;16132;01.01.2020;;grösste Gemeinde;
MANUAL;Homberg b. Thun;BE;Homberg;BE;931;;15329;;;;
MANUAL;Obersaxen;GR;Obersaxen Mundaun;GR;3988;;16069;01.01.2016;;;
MANUAL;Oberstammheim;ZH;Stammheim;ZH;292;;16122;01.01.2019;;grösste Gemeinde;
MANUAL;Gerra (Verzasca);TI;Verzasca;TI;5399;;16589;19.10.2020;;grösste Gemeinde;
MANUAL;Vicques;JU;Vicques (Val Terbi);JU;7129;;;01.03.2016;;;
MANUAL;Les Hauts-Geneveys;NE;Les Hauts-Geneveys (Val-de-Ruz);NE;7936;;;01.01.2013;;;
MANUAL;Villaz-St-Pierre;FR;Villaz (Fuyens);FR;7534;;;01.01.2020;;"""Am 1. Januar 1978 wurde Fuyens nach Villaz-Saint-Pierre eingemeindet.""";
MANUAL;Montenol;JU;Montenol (Clos du Doubs);JU;7113;;;01.03.2016;;;
MANUAL;Travers;NE;Travers (Val-de-Travers);NE;7945;;;01.01.2013;;;
MANUAL;Wergenstein;GR;Muntogna da Schons (Casti);GR;7547;;;01.01.2021;;;
